id,first_name,last_name,email,gender,ip_address,animal,animalScientific,color,creditCard
1,Malchy,Necrews,mnecrews0@pinterest.com,Male,41.229.82.223,African fish eagle,Haliaetus vocifer,Purple,6759452086892344836
2,Ragnar,Stiell,rstiell1@ameblo.jp,Male,175.104.140.55,"Hyena, brown",Hyaena brunnea,Purple,4017957873052
3,Bearnard,Le Grove,blegrove2@tumblr.com,Male,201.78.173.19,Pine snake (unidentified),Pituophis melanaleucus,Red,374283252661061
4,Lavinie,Gebhard,lgebhard3@bizjournals.com,Female,169.4.18.123,African clawless otter,Aonyx capensis,Blue,30341703193344
5,Franny,Bodicum,fbodicum4@hp.com,Male,186.196.228.199,"Kingfisher, white-throated",Halcyon smyrnesis,Purple,6377218074657172
6,Giacinta,Dunk,gdunk5@pinterest.com,Female,204.179.216.7,Bent-toed gecko,Cyrtodactylus louisiadensis,Mauv,3548808878052132
7,Stillman,Ardern,sardern6@meetup.com,Male,154.125.90.95,Wild water buffalo,Bubalus arnee,Puce,493628107659299277
8,Pauletta,Burcombe,pburcombe7@ca.gov,Female,185.18.26.8,Pronghorn,Antilocapra americana,Maroon,3585177011389353
9,Benyamin,Claeskens,bclaeskens8@timesonline.co.uk,Male,252.199.194.129,"Flicker, field",Colaptes campestroides,Violet,5038234209197746209
10,Violetta,Godard,vgodard9@tamu.edu,Female,232.186.89.23,"Capuchin, black-capped",Cebus apella,Green,4017952075367602
11,Yettie,de Clerq,ydeclerqa@technorati.com,Female,63.204.231.50,"Insect, stick",Leprocaulinus vipera,Khaki,3545928633826662
12,Bernadene,Extal,bextalb@zdnet.com,Female,251.50.121.217,Gulls (unidentified),Larus sp.,Crimson,677189568567099159
13,Siffre,Tordiffe,stordiffec@google.com.hk,Male,225.178.65.152,Red-billed buffalo weaver,Bubalornis niger,Mauv,3530156407996738
14,Nomi,Habbijam,nhabbijamd@squidoo.com,Female,176.246.216.144,Tokay gecko,Gekko gecko,Puce,0604571284724874324
15,Lucky,Valdes,lvaldese@cdbaby.com,Female,105.236.150.25,Slender-billed cockatoo,Cacatua tenuirostris,Pink,3537368109885894
16,Germayne,Balsillie,gbalsillief@mozilla.com,Male,124.165.49.161,"Penguin, fairy",Eudyptula minor,Blue,371167580267597
17,Clemmy,Clowsley,cclowsleyg@youtu.be,Male,15.116.201.246,Eastern diamondback rattlesnake,Crotalus adamanteus,Green,3577552903067095
18,Madelene,Beedom,mbeedomh@bravesites.com,Female,72.107.187.166,Southern brown bandicoot,Isoodon obesulus,Turquoise,3568957350318977
19,Claudie,Boschmann,cboschmanni@google.nl,Female,210.114.36.6,Barrows goldeneye,Bucephala clangula,Goldenrod,3570730856163734
20,Cori,Dodamead,cdodameadj@slideshare.net,Male,190.157.219.51,"Monkey, bleeding heart",Theropithecus gelada,Indigo,3565961768442141
21,Read,Innocent,rinnocentk@spiegel.de,Male,171.209.110.35,"Peacock, indian",Pavo cristatus,Purple,3562753830122212
22,Wrennie,Hanlin,whanlinl@eepurl.com,Female,164.19.19.177,"Monkey, black spider",Ateles paniscus,Orange,3581739982972808
23,Pris,Mazzia,pmazziam@behance.net,Female,124.45.140.254,Little brown bat,Myotis lucifugus,Maroon,3551218437634269
24,Avril,Richichi,arichichin@uiuc.edu,Female,60.84.97.59,"Falcon, prairie",Falco mexicanus,Goldenrod,3588294768245683
25,Zebulon,Upjohn,zupjohno@dell.com,Male,207.210.109.85,Western bearded dragon,Amphibolurus barbatus,Mauv,3574104818578627
26,Darlleen,Kedge,dkedgep@ox.ac.uk,Female,146.206.43.237,"Owl, snowy",Nyctea scandiaca,Mauv,5108759674339743
27,Warden,Iacovides,wiacovidesq@bbb.org,Male,3.20.98.161,"Skunk, western spotted",Spilogale gracilis,Turquoise,3538268192675153
28,Caritta,Aveling,cavelingr@prlog.org,Female,86.4.53.31,Hoffman's sloth,Choloepus hoffmani,Goldenrod,3558603044714104
29,Hilary,Bromell,hbromells@51.la,Male,129.97.84.165,"Duck, comb",Sarkidornis melanotos,Purple,201859302483579
30,Fredric,Seed,fseedt@xrea.com,Male,175.98.254.226,"Anteater, australian spiny",Tachyglossus aculeatus,Turquoise,3556955249928521
31,Batsheva,O'Dooghaine,bodooghaineu@buzzfeed.com,Female,15.255.143.217,"Dik, kirk's dik",Madoqua kirkii,Goldenrod,3568371144298919
32,Jerrylee,Duthie,jduthiev@indiatimes.com,Female,4.39.55.180,"Heron, boat-billed",Cochlearius cochlearius,Yellow,3532639905209777
33,Salvador,Rihosek,srihosekw@dailymail.co.uk,Male,185.38.74.19,Currasow (unidentified),Crax sp.,Fuscia,201419251810361
34,Nydia,Absalom,nabsalomx@wisc.edu,Female,70.243.250.224,Arctic lemming,Dicrostonyx groenlandicus,Teal,5602253546465291
35,Ede,Ourry,eourryy@narod.ru,Female,181.104.97.138,Black-necked stork,Ephippiorhynchus mycteria,Green,30512852519766
36,Vanessa,Ricker,vrickerz@squarespace.com,Female,31.221.158.177,"Badger, honey",Mellivora capensis,Goldenrod,4026291031633750
37,Leroy,O'Brogan,lobrogan10@163.com,Male,101.78.145.205,Puna ibis,Plegadis ridgwayi,Green,3540937561317052
38,Leah,Currom,lcurrom11@utexas.edu,Female,117.142.56.32,Common duiker,Sylvicapra grimma,Turquoise,3569472001041639
39,Xaviera,Stiger,xstiger12@simplemachines.org,Female,102.243.6.13,"Porcupine, african",Hystrix cristata,Purple,201536904922440
40,Franni,Goney,fgoney13@statcounter.com,Female,191.146.128.56,Little blue penguin,Eudyptula minor,Violet,6304526296420913401
41,Carver,Gingedale,cgingedale14@amazon.co.jp,Male,218.115.23.239,"Seal, northern elephant",Mirounga angustirostris,Khaki,5010127824893109
42,Faye,Bragg,fbragg15@flickr.com,Female,89.125.105.119,Anaconda (unidentified),Eunectes sp.,Maroon,6706152967322440
43,Zeke,Gillaspy,zgillaspy16@state.tx.us,Male,167.2.28.78,"Bird, pied butcher",Cracticus nigroagularis,Green,3583769914091169
44,Joycelin,Corkett,jcorkett17@joomla.org,Female,4.238.192.220,"Polecat, african",Ictonyx striatus,Goldenrod,5472441332809718
45,Clarabelle,Mountfort,cmountfort18@list-manage.com,Genderfluid,53.84.147.227,Japanese macaque,Macaca fuscata,Fuscia,3571378909654678
46,Waly,Troker,wtroker19@de.vu,Female,113.209.79.168,Neotropic cormorant,Phalacrocorax brasilianus,Blue,3536357777380818
47,Suzanna,Medcalfe,smedcalfe1a@google.com,Female,230.114.172.8,Jaguar,Panthera onca,Yellow,4041598233443
48,Farah,Isac,fisac1b@google.ru,Female,37.202.51.177,Green vine snake,Oxybelis fulgidus,Violet,4508474057373744
49,Bonny,Rennick,brennick1c@geocities.jp,Female,21.172.224.114,Blue wildebeest,Connochaetus taurinus,Aquamarine,3550611981095583
50,Lorenzo,Castellucci,lcastellucci1d@people.com.cn,Agender,17.160.131.24,"Bat, madagascar fruit",Pteropus rufus,Orange,3566334345809977
51,Kora,Heelis,kheelis1e@reuters.com,Female,212.151.113.157,Black-backed magpie,Gymnorhina tibicen,Teal,3532793520348526
52,Goldarina,Pinkett,gpinkett1f@tamu.edu,Female,226.175.175.180,Tokay gecko,Gekko gecko,Indigo,4405695010330363
53,Garrek,Mendoza,gmendoza1g@networkadvertising.org,Male,204.8.28.112,"Alligator, mississippi",Alligator mississippiensis,Blue,5475586639791311
54,Brier,Postlethwaite,bpostlethwaite1h@hostgator.com,Female,118.77.3.153,Nile crocodile,Crocodylus niloticus,Goldenrod,3586804425519361
