id,first_name,last_name,email,gender,ip_address,animal,animalScientific,color,creditCard
1,Siegfried,Spaight,sspaight0@irs.gov,Male,248.168.175.213,"Tarantula, salmon pink bird eater",Lasiodora parahybana,Red,3577410220661092
2,Debor,Snow,dsnow1@blogger.com,Female,197.208.124.35,Fat-tailed dunnart,Smithopsis crassicaudata,Crimson,6378637894172329
3,Ginnifer,Durnell,gdurnell2@mit.edu,Female,225.171.38.127,"Vulture, egyptian",Neophron percnopterus,Pink,3584715522486357
4,Burton,Randall,brandall3@theguardian.com,Male,189.74.105.247,Radiated tortoise,Geochelone radiata,Green,6397804431837247
5,Dell,Muress,dmuress4@chicagotribune.com,Female,243.246.236.57,Kirk's dik dik,Madoqua kirkii,Red,348717641494067
6,Adina,Hurl,ahurl5@ebay.co.uk,Female,25.225.176.154,Agouti,Dasyprocta leporina,Crimson,4936071900250046
7,Ferris,Sutcliff,fsutcliff6@gmpg.org,Male,138.203.89.208,Red phalarope,Phalaropus fulicarius,Pink,201643118850308
8,Raeann,Gull,rgull7@blogtalkradio.com,Female,203.206.109.60,"Pie, indian tree",Dendrocitta vagabunda,Fuscia,3566225567773497
9,Diahann,Toopin,dtoopin8@china.com.cn,Female,52.119.93.19,Indian mynah,Acridotheres tristis,Yellow,3572260917628838
10,Edy,Gabbett,egabbett9@latimes.com,Female,96.137.207.255,"Fox, crab-eating",Dusicyon thous,Yellow,6374196510587604
11,Mattheus,Roscamp,mroscampa@tinypic.com,Male,102.145.120.55,Guerza,Colobus guerza,Red,3538825429800225
12,Broderic,Pierson,bpiersonb@paginegialle.it,Genderfluid,154.111.178.7,"Cormorant, javanese",Phalacrocorax niger,Mauv,3548415882828927
13,Evelyn,Chaffyn,echaffync@europa.eu,Female,120.143.186.18,Asian false vampire bat,Megaderma spasma,Red,5602216133999057604
14,Katleen,Gavin,kgavind@state.gov,Female,254.4.184.5,Red-tailed cockatoo,Calyptorhynchus magnificus,Maroon,493651061196912555
15,Pepi,Verecker,pvereckere@google.nl,Female,145.252.95.92,"Goat, mountain",Oreamnos americanus,Aquamarine,490303816095315277
